Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Abyei Administrative Area,Abyei County,Abyei Payam,Abyei Civil HOSPITAL,dcxxj6WsrYh,Abyei Civil HOSPITAL,  State Hospital,Orange,#REF!,#REF!
South Sudan,Abyei Administrative Area,Abyei County,Alal Payam,Agany Tok PHCU,IN0Vq0USxQp,Agany Tok PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Abyei Administrative Area,Abyei County,Mijak Payam,Ganga PHCU,u9MPZmqwBCG,Ganga PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Yei County,Otogo Payam,Abegi PHCU,YUnKeViFnVc,Abegi PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Kajo-Keji County,Liwolo Payam,Ajio PHCU,tfTLCc5vfHm,Ajio PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Central Equatoria State,Morobo County,Wudabi Payam,Aloto Rural PHCU,VDRLiHEKriS,Aloto Rural PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Central Equatoria State,Kajo-Keji County,Kangapo Two Payam,Bori PHCC,mvgmcnhNoCH,Bori PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Central Equatoria State,Kajo-Keji County,Liwolo Payam,Boro Boro PHCU,KbdmOwtsXxF,Boro Boro PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Central Equatoria State,Juba County,Bungu Payam,Bungu PHCU,pTZPmR7bl64,Bungu PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Terekeka County,Tali Payam,Dari PHCU,CjCdWJWfBQE,Dari PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Lainya County,Mukaya Payam,Dimo One PHCU,xkMhGVjL4hv,Dimo One PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Juba County,Juba Town Payam,El-Sabah Children HOSPITAL,DHKCr3lbyu7,El-Sabah Children HOSPITAL,   County Hospital,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Yei County,Yei Town Payam,EPC PHCC,EqHIbzzyxvR,EPC PHCC,   PHCC,Orange,#REF!,#REF!
South Sudan,Central Equatoria State,Terekeka County,Gameiza Payam,Gemeiza PHCU,gE4lVt1HOmR,Gemeiza PHCU,   PHCU,Green,#REF!,#REF!
